channel_id,video_id,title,published_at,week,month,title_length,view_count,like_count,comment_count,engmt_rate,clean_title,engmt_h
UCiTrvunKfhrK-qc41ZctFrg,rGhJmDsDp-c,"DAYS IN MY LIFE: Prepping For Guests, Home Updates, Women in STEM",2025-01-24 21:21:59+00:00,2025-01-20,2025-01,65,35124.0,1250.0,62.0,0.03558820179933948,days in my life prepping for guests home updates women in stem,0.044414075845575676
UCiTrvunKfhrK-qc41ZctFrg,TQ_5FArNMG4,love a good closing shift,2025-01-15 05:22:57+00:00,2025-01-13,2025-01,25,6265.0,631.0,8.0,0.10071827613727055,love a good closing shift,0.10710295291300878
UCiTrvunKfhrK-qc41ZctFrg,BRgcSgtS2Ko,a morning meditation of sorts,2025-01-15 05:22:07+00:00,2025-01-13,2025-01,29,4005.0,246.0,4.0,0.06142322097378277,a morning meditation of sorts,0.06641697877652934
UCiTrvunKfhrK-qc41ZctFrg,PXAFfvbW4yQ,"DAY IN MY LIFE: New Years Reset, Deep Cleaning, Lowering My Screen Time",2025-01-06 21:27:33+00:00,2025-01-06,2025-01,71,44223.0,1217.0,64.0,0.027519616489157225,day in my life new years reset deep cleaning lowering my screen time,0.03475567012640481
UCiTrvunKfhrK-qc41ZctFrg,W827iDmWvzY,dry january inspo,2024-12-30 20:23:55+00:00,2024-12-30,2024-12,17,5201.0,247.0,5.0,0.04749086714093444,dry january inspo,0.05229763507017881
UCiTrvunKfhrK-qc41ZctFrg,aWPJ-RGQyP0,seriously,2024-12-23 00:38:23+00:00,2024-12-23,2024-12,9,5387.0,242.0,5.0,0.04492296268795248,seriously,0.04956376461852608
UCiTrvunKfhrK-qc41ZctFrg,C89-DQnYmog,if bathroom decor is wrong i don’t want to be right,2024-12-20 17:56:26+00:00,2024-12-16,2024-12,51,11016.0,438.0,4.0,0.039760348583877995,if bathroom decor is wrong i dont want to be right,0.041575889615105305
UCiTrvunKfhrK-qc41ZctFrg,0Rxz7souph8,never leaving this bed!! #netflix,2024-12-19 15:59:33+00:00,2024-12-16,2024-12,33,3802.0,236.0,8.0,0.06207259337190952,never leaving this bed netflix,0.07259337190952131
UCiTrvunKfhrK-qc41ZctFrg,yJMLBOnnuRo,forgot how much i loved baths!!!,2024-12-18 02:17:41+00:00,2024-12-16,2024-12,32,4966.0,241.0,1.0,0.04853000402738623,forgot how much i loved baths,0.049536850583971004
UCiTrvunKfhrK-qc41ZctFrg,uiOVx-Sq63Y,sheet pan nachos are an oldie but a goodie!!,2024-12-16 01:50:34+00:00,2024-12-16,2024-12,44,7469.0,749.0,7.0,0.10028116213683223,sheet pan nachos are an oldie but a goodie,0.1049671977507029
UCiTrvunKfhrK-qc41ZctFrg,34KQISh-ST4,I imagine this is where an old medicine cabinet once was! now it’s a hidden spot for toilet paper,2024-12-15 19:56:20+00:00,2024-12-09,2024-12,97,9452.0,285.0,1.0,0.03015234870926788,i imagine this is where an old medicine cabinet once was now its a hidden spot for toilet paper,0.030681337283114684
UCiTrvunKfhrK-qc41ZctFrg,zcp-d5PBO1g,bathroom renovation reveal!!,2024-12-03 21:55:39+00:00,2024-12-02,2024-12,28,6870.0,311.0,6.0,0.045269286754002915,bathroom renovation reveal,0.04963609898107715
UCiTrvunKfhrK-qc41ZctFrg,JeZ_TPN8RWA,dream kitchen renovation!!,2024-12-03 17:20:49+00:00,2024-12-02,2024-12,26,6947.0,335.0,7.0,0.04822225421045055,dream kitchen renovation,0.053260400172736436
UCiTrvunKfhrK-qc41ZctFrg,Av8s44dS91M,"WEEK IN MY LIFE: The Week Before My Move, Cook With Me, Sock Curls",2024-12-01 17:42:48+00:00,2024-11-25,2024-12,66,41288.0,1147.0,91.0,0.027780468901375702,week in my life the week before my move cook with me sock curls,0.03880062003487696
UC1zACndCursf-RTGr9YvQmQ,g_buhIRPq2k,what everyone ordered at my HOME CAFE,2025-05-23 22:00:45+00:00,2025-05-19,2025-05,37,130826.0,5203.0,29.0,0.03977038203415223,what everyone ordered at my home cafe,0.04087872441257854
UC1zACndCursf-RTGr9YvQmQ,mYiR1dcEG6o,I turned my NYC apartment into a real CAFE,2025-05-23 16:12:09+00:00,2025-05-19,2025-05,42,238555.0,12014.0,351.0,0.05036155184339041,i turned my nyc apartment into a real cafe,0.05771834587411708
UC1zACndCursf-RTGr9YvQmQ,DekvsWJGGVo,six RARE matchas SIX ways,2025-05-09 18:56:03+00:00,2025-05-05,2025-05,25,67379.0,3518.0,42.0,0.052212113566541506,six rare matchas six ways,0.055328811647545974
UC1zACndCursf-RTGr9YvQmQ,o-ihLwOw24Q,i lost my dignity at Coachella,2025-05-02 19:02:17+00:00,2025-04-28,2025-05,30,250749.0,9786.0,227.0,0.03902707488364859,i lost my dignity at coachella,0.04355351367303559
UC1zACndCursf-RTGr9YvQmQ,eDDbpS8eTk0,THRIFTING COACHELLA OUTFITS WITH MY SIBLINGS,2025-04-24 18:33:18+00:00,2025-04-21,2025-04,44,175186.0,7515.0,186.0,0.042897263479958446,thrifting coachella outfits with my siblings,0.0482059068647038
UC1zACndCursf-RTGr9YvQmQ,yVGrZwKVfdg,eating ONLY Korean food for 24 HOURS in NYC,2025-04-13 18:49:04+00:00,2025-04-07,2025-04,43,324695.0,12639.0,227.0,0.03892576109887741,eating only korean food for 24 hours in nyc,0.04242134926623447
UC1zACndCursf-RTGr9YvQmQ,jsoqqx-56Hw,my 3am morning routine,2025-04-02 17:11:51+00:00,2025-03-31,2025-04,22,263243.0,8689.0,101.0,0.03300752536629654,my 3am morning routine,0.03492590496233518
UC1zACndCursf-RTGr9YvQmQ,u8gV7oWPBKg,what milk? White Monster,2025-03-31 15:31:40+00:00,2025-03-31,2025-03,24,226660.0,7015.0,27.0,0.03094943968940263,what milk white monster,0.03154504544251301
UC1zACndCursf-RTGr9YvQmQ,e--RYw_zYLE,the reality of owning a matcha business,2025-03-24 20:17:19+00:00,2025-03-24,2025-03,39,397991.0,15122.0,423.0,0.03799583407664998,the reality of owning a matcha business,0.0433100245985462
UC1zACndCursf-RTGr9YvQmQ,4-6w1FDEbY4,eating my scoby,2025-03-23 21:13:38+00:00,2025-03-17,2025-03,15,56973.0,1214.0,35.0,0.02130833903778983,eating my scoby,0.024379969459217523
UC1zACndCursf-RTGr9YvQmQ,Hzj8BoLUv1c,we went to bali together,2025-03-21 19:41:13+00:00,2025-03-17,2025-03,24,463808.0,19075.0,325.0,0.04112693183386229,we went to bali together,0.04463053677383745
UC1zACndCursf-RTGr9YvQmQ,orlsM5dhIGg,interning for my brother,2025-03-17 17:03:43+00:00,2025-03-17,2025-03,24,57415.0,2465.0,10.0,0.04293303143777758,interning for my brother,0.043803884002438384
UC1zACndCursf-RTGr9YvQmQ,qiGnwkCStQ0,switching lives with my FINANCE BRO little brother,2025-03-05 18:11:35+00:00,2025-03-03,2025-03,50,482234.0,17634.0,381.0,0.03656730964635426,switching lives with my finance bro little brother,0.040517673992294195
UC1zACndCursf-RTGr9YvQmQ,YTROovm5a0Q,I brought him to copenhagen,2025-02-11 18:31:47+00:00,2025-02-10,2025-02,27,328561.0,14765.0,393.0,0.0449383828269332,i brought him to copenhagen,0.05091900742936624
UC1zACndCursf-RTGr9YvQmQ,KRpVziqbsIw,"matcha at 35,000 ft in the air ✈️",2025-02-05 00:09:34+00:00,2025-02-03,2025-02,33,57396.0,3354.0,14.0,0.058436127953167466,matcha at 35000 ft in the air ,0.05965572513764025
UC1zACndCursf-RTGr9YvQmQ,GF5VCjhppIk,I accidentally bought a $5000 airplane seat,2025-01-30 20:10:47+00:00,2025-01-27,2025-01,43,1090990.0,33988.0,2638.0,0.031153356126087314,i accidentally bought a 5000 airplane seat,0.04324329278911814
UC1zACndCursf-RTGr9YvQmQ,UOdGUY12MEI,my workout routine *EXACTLY* what I do to stay in shape ✨ (the NYC it-girl workout guide!),2025-01-27 20:20:31+00:00,2025-01-27,2025-01,90,302857.0,10824.0,211.0,0.03573963949982995,my workout routine exactly what i do to stay in shape  the nyc itgirl workout guide,0.03922313170902439
UC1zACndCursf-RTGr9YvQmQ,OwlUghREiOA,what milk do you want?,2025-01-22 17:32:09+00:00,2025-01-20,2025-01,22,84441.0,3299.0,47.0,0.03906869885482171,what milk do you want,0.04185170710910577
UC1zACndCursf-RTGr9YvQmQ,0sZnWIcvHRU,I tried EVERY MATCHA in LOS ANGELES 🍵,2025-01-20 18:50:17+00:00,2025-01-20,2025-01,37,262819.0,15866.0,2419.0,0.06036854260917209,i tried every matcha in los angeles ,0.10638880750630662
UC1zACndCursf-RTGr9YvQmQ,4TAQKfdGGKs,exposing my entire camera roll (2024 recap),2025-01-11 16:58:00+00:00,2025-01-06,2025-01,43,161811.0,7349.0,170.0,0.04541718424581765,exposing my entire camera roll 2024 recap,0.05067022637521553
UC1zACndCursf-RTGr9YvQmQ,3i6MplmtLFI,kumquat tanghulu,2025-01-10 23:59:10+00:00,2025-01-06,2025-01,16,47999.0,2437.0,21.0,0.05077189108106419,kumquat tanghulu,0.05295943665493031
UC1zACndCursf-RTGr9YvQmQ,28U_LBtIeWU,my new years resolutions ✨,2025-01-01 19:46:58+00:00,2024-12-30,2025-01,26,274357.0,20076.0,61.0,0.07317473219199802,my new years resolutions ,0.07428642243500257
UC1zACndCursf-RTGr9YvQmQ,b8QgymEayYM,excuse me do you have *insert absurd item* ?,2024-12-31 22:11:27+00:00,2024-12-30,2024-12,44,161058.0,13825.0,37.0,0.08583864197990786,excuse me do you have insert absurd item ,0.0869872965018813
UC1zACndCursf-RTGr9YvQmQ,ygPbZoAs51g,she literally dgaf,2024-12-30 01:00:43+00:00,2024-12-30,2024-12,18,51388.0,2836.0,24.0,0.05518798162995252,she literally dgaf,0.057523157157312994
UC1zACndCursf-RTGr9YvQmQ,OwrzHG7xlLU,WHAT WE GOT FOR CHRISTMAS HAUL 2024,2024-12-28 16:00:32+00:00,2024-12-23,2024-12,35,321870.0,15898.0,346.0,0.04939261192406872,what we got for christmas haul 2024,0.05476745269829434
UC1zACndCursf-RTGr9YvQmQ,T_GSiH1lntU,first class to LAX ... HUH,2024-12-21 21:14:26+00:00,2024-12-16,2024-12,26,53963.0,4016.0,29.0,0.07442136278561236,first class to lax  huh,0.07710838908140763
UC1zACndCursf-RTGr9YvQmQ,opew9EKHxkc,inside joke,2024-12-21 01:00:38+00:00,2024-12-16,2024-12,11,38445.0,1912.0,18.0,0.04973338535570295,inside joke,0.052074391988555076
UC1zACndCursf-RTGr9YvQmQ,tmEnR1bUDwo,MINECRAFT matcha.,2024-12-20 01:00:42+00:00,2024-12-16,2024-12,17,50078.0,3035.0,30.0,0.06060545548943648,minecraft matcha,0.06360078277886497
UC1zACndCursf-RTGr9YvQmQ,fF4VxSIDnkw,baking with my siblings while BLINDFOLDED... *gone wrong*,2024-12-18 20:15:18+00:00,2024-12-16,2024-12,57,161397.0,8313.0,251.0,0.051506533578691054,baking with my siblings while blindfolded gone wrong,0.05928239062683941
UC1zACndCursf-RTGr9YvQmQ,fOZui9YG_Ko,everything I want for Christmas (what to get yourself or UR GIRLLL) *ultimate gift guide*,2024-12-16 04:22:00+00:00,2024-12-16,2024-12,89,56782.0,3144.0,16.0,0.05536965939910535,everything i want for christmas what to get yourself or ur girlll ultimate gift guide,0.056778556584833224
UC1zACndCursf-RTGr9YvQmQ,_pBeegcBrdw,owning a business be like,2024-12-16 01:00:32+00:00,2024-12-16,2024-12,25,32335.0,2264.0,20.0,0.07001700943250348,owning a business be like,0.07310963352404515
UC1zACndCursf-RTGr9YvQmQ,kJmJ6uEy3CM,I am NOT dating him.,2024-12-15 01:00:25+00:00,2024-12-09,2024-12,20,131229.0,6080.0,165.0,0.04633122251941263,i am not dating him,0.052617942680352664
UC1zACndCursf-RTGr9YvQmQ,ulyzAnIkPII,Ningning is the MAKNAE 💜,2024-12-13 22:38:00+00:00,2024-12-09,2024-12,24,145735.0,8225.0,24.0,0.05643805537448108,ningning is the maknae ,0.05726146773252822
UC1zACndCursf-RTGr9YvQmQ,Zg_JzgJlMa8,i did not order all these cakes,2024-12-11 01:00:19+00:00,2024-12-09,2024-12,31,69238.0,3964.0,18.0,0.05725179814552702,i did not order all these cakes,0.058551662381929
UC1zACndCursf-RTGr9YvQmQ,ct3gZUwCCBY,nami matcha kit unboxing! ⭐️🍵,2024-12-10 17:58:38+00:00,2024-12-09,2024-12,29,40636.0,2750.0,21.0,0.06767398365980903,nami matcha kit unboxing ,0.0702578993995472
UCgNUeSxwTH5tE9Bgvzek-5Q,06LSR379Y1Y,The Real Glow Up? Showing Up Daily.,2025-05-28 14:54:18+00:00,2025-05-26,2025-05,35,2711.0,211.0,8.0,0.07783105864994468,the real glow up showing up daily,0.09258576171154556
UCgNUeSxwTH5tE9Bgvzek-5Q,JKqDG3bsj9c,What does community mean to YOU? ❤️,2025-05-27 13:00:39+00:00,2025-05-26,2025-05,35,15508.0,373.0,6.0,0.02405210214083054,what does community mean to you ,0.02598658756770699
UCgNUeSxwTH5tE9Bgvzek-5Q,8DZxoUIxW1k,What I Never Skip in My Slow Morning Routine,2025-05-26 13:00:13+00:00,2025-05-26,2025-05,44,29622.0,669.0,12.0,0.022584565525622848,what i never skip in my slow morning routine,0.024610087097427586
UCgNUeSxwTH5tE9Bgvzek-5Q,C9H3GJs1XrE,Simple protein habits have changed everything for me.,2025-05-23 13:00:31+00:00,2025-05-19,2025-05,53,66830.0,1322.0,17.0,0.01978153523866527,simple protein habits have changed everything for me,0.021053419123148287
UCgNUeSxwTH5tE9Bgvzek-5Q,WAHdm94jghc,"Full Fridge, Clear Mind",2025-05-22 13:01:00+00:00,2025-05-19,2025-05,23,48833.0,863.0,14.0,0.01767247558003809,full fridge clear mind,0.019105932463702825
UCgNUeSxwTH5tE9Bgvzek-5Q,jvzTzbWQbEM,Try this 8 Exercise Routine to Sculpt Arms + Back,2025-05-21 13:01:23+00:00,2025-05-19,2025-05,49,24121.0,720.0,7.0,0.029849508726835536,try this 8 exercise routine to sculpt arms  back,0.03130052651216782
UCgNUeSxwTH5tE9Bgvzek-5Q,qEk4ipFJadU,Making movement a ritual has changed everything for me.,2025-05-19 15:20:51+00:00,2025-05-19,2025-05,55,9529.0,301.0,2.0,0.031587784657361735,making movement a ritual has changed everything for me,0.03263721271906811
UCgNUeSxwTH5tE9Bgvzek-5Q,LTRBVP6z0uk,Week Vlog in L.A | Home Update + How I Calm My Nervous System Daily,2025-05-17 11:00:26+00:00,2025-05-12,2025-05,67,53697.0,1565.0,85.0,0.02914501741251839,week vlog in la  home update  how i calm my nervous system daily,0.037059798498985046
UCgNUeSxwTH5tE9Bgvzek-5Q,XfGJdACIX30,"Journaling has saved my focus, routine and peace of mind ✨",2025-05-15 16:17:10+00:00,2025-05-12,2025-05,58,12938.0,375.0,6.0,0.028984387076827947,journaling has saved my focus routine and peace of mind ,0.03130313804297419
UCgNUeSxwTH5tE9Bgvzek-5Q,zx0KAd_mM9k,Fuel Your Body with Colorful Whole Foods,2025-05-13 14:48:23+00:00,2025-05-12,2025-05,40,38030.0,1104.0,9.0,0.029029713384170392,fuel your body with colorful whole foods,0.030212989744938207
UCgNUeSxwTH5tE9Bgvzek-5Q,dmdLb9tgvvQ,"Weekend in My Life in L.A. | Farmers Market Haul, Cooking at Home, and Feeling Emotional",2025-04-19 10:00:58+00:00,2025-04-14,2025-04,88,108623.0,2776.0,128.0,0.025556281818767665,weekend in my life in la  farmers market haul cooking at home and feeling emotional,0.03144821999024148
UCgNUeSxwTH5tE9Bgvzek-5Q,BfhC3Sr33vg,15 Min Pilates for Strong Back | Improve Posture | Day 7 Challenge,2025-04-13 07:15:01+00:00,2025-04-07,2025-04,66,20680.0,849.0,36.0,0.041054158607350094,15 min pilates for strong back  improve posture  day 7 challenge,0.04975822050290135
UCgNUeSxwTH5tE9Bgvzek-5Q,ty8ou3EHrqs,15 Minute Toning Inner and Outer Thigh Pilates | Day 5 Challenge,2025-04-11 10:01:23+00:00,2025-04-07,2025-04,64,19470.0,777.0,16.0,0.0399075500770416,15 minute toning inner and outer thigh pilates  day 5 challenge,0.04401643554185927
UCgNUeSxwTH5tE9Bgvzek-5Q,-IpePvvhlQ0,3x Simple Foods To Support your Digestion and 💩,2025-04-03 19:13:50+00:00,2025-03-31,2025-04,47,317653.0,4828.0,38.0,0.015198974982134593,3x simple foods to support your digestion and ,0.015797111942906252
UCgNUeSxwTH5tE9Bgvzek-5Q,YCtSDzb6MoQ,Your Guide to a Glow-Up: 10 Habits That Will Change How You Show Up in 2025,2025-03-29 16:23:43+00:00,2025-03-24,2025-03,75,162785.0,4885.0,121.0,0.030008907454618053,your guide to a glowup 10 habits that will change how you show up in 2025,0.033725466105599414
UCgNUeSxwTH5tE9Bgvzek-5Q,uOxlehjxDBQ,"March 27, 2025",2025-03-27 15:40:01+00:00,2025-03-24,2025-03,14,32273.0,1212.0,8.0,0.03755461221454467,march 27 2025,0.03879403836023921
UCgNUeSxwTH5tE9Bgvzek-5Q,itXcTPWrR20,I went to an Indian wedding … and here is what happened!,2025-03-08 10:52:25+00:00,2025-03-03,2025-03,56,291070.0,7902.0,338.0,0.027148108702374,i went to an indian wedding  and here is what happened,0.03295427216820696
UCgNUeSxwTH5tE9Bgvzek-5Q,kRhhvAIGL9g,"24 Hours in Los Angeles: A Day in My Life, Night Time Skincare Routine + What I Eat",2025-03-01 19:30:20+00:00,2025-02-24,2025-03,83,104996.0,2685.0,102.0,0.025572402758200313,24 hours in los angeles a day in my life night time skincare routine  what i eat,0.03042973065640596
UCgNUeSxwTH5tE9Bgvzek-5Q,FwOmJfPBu7E,What I Eat in a Day to Build Muscle. Love my @Chomps Beef Sticks for a snack  #chompspartner,2025-01-31 18:32:18+00:00,2025-01-27,2025-01,92,104284.0,3998.0,24.0,0.03833761650876453,what i eat in a day to build muscle love my chomps beef sticks for a snack  chompspartner,0.039488320355951054
UCgNUeSxwTH5tE9Bgvzek-5Q,eT7F9W2en-8,10x Healthy Habits That Will Change Your Life Forever | 2025,2025-01-11 17:27:15+00:00,2025-01-06,2025-01,60,290140.0,14703.0,2834.0,0.05067553594816296,10x healthy habits that will change your life forever  2025,0.09951402771076032
UCgNUeSxwTH5tE9Bgvzek-5Q,eTI2gQM5_L0,What I Eat In a Day | High Protein to Build Lean Muscle | Easy Home Recipes,2025-01-04 14:48:18+00:00,2024-12-30,2025-01,75,439380.0,8094.0,244.0,0.01842141198962174,what i eat in a day  high protein to build lean muscle  easy home recipes,0.021198051800264007
UCgNUeSxwTH5tE9Bgvzek-5Q,_A6E64o2HOY,#abercrombiepartner new year routine with @abercrombie,2025-01-01 18:18:39+00:00,2024-12-30,2025-01,54,65086.0,2786.0,21.0,0.04280490428049043,abercrombiepartner new year routine with abercrombie,0.04441815444181545
UCgNUeSxwTH5tE9Bgvzek-5Q,mvkW6Icrak0,Spinach + Feta Stuffed Salmon 🥔🥬,2024-12-10 20:12:02+00:00,2024-12-09,2024-12,32,63397.0,3245.0,17.0,0.05118538732116662,spinach  feta stuffed salmon ,0.052526144770257265
UCgNUeSxwTH5tE9Bgvzek-5Q,EM8jnJQo26E,Reminder: Nourishing yourself is a form of self-care!,2024-12-07 04:16:39+00:00,2024-12-02,2024-12,53,148774.0,6864.0,21.0,0.04613709384704317,reminder nourishing yourself is a form of selfcare,0.04684286232809496
UCgNUeSxwTH5tE9Bgvzek-5Q,b5SBgN2J1LQ,🫐🫐🫐,2024-12-05 18:31:55+00:00,2024-12-02,2024-12,3,35591.0,1439.0,17.0,0.04043156977887668,,0.04281981399792082
UCgNUeSxwTH5tE9Bgvzek-5Q,1bUrLHqXB0M,A Day in the Life of a Model | BTS of My Campaign Shoot!,2024-11-29 12:00:04+00:00,2024-11-25,2024-11,56,62730.0,1589.0,83.0,0.025330782719591903,a day in the life of a model  bts of my campaign shoot,0.031946437111429936
UCgNUeSxwTH5tE9Bgvzek-5Q,c7UW-4HWZEM,I love fueling my body with what it craves! Here is how I nourish my body and stay energized 🌟🌟,2024-11-25 23:13:29+00:00,2024-11-25,2024-11,95,64236.0,3445.0,14.0,0.05363036303630363,i love fueling my body with what it craves here is how i nourish my body and stay energized ,0.05472009465097453
UCgNUeSxwTH5tE9Bgvzek-5Q,Loa9OZJRucM,The most delicious and refreshing smoothie to boost your immunity the upcoming winter months!,2024-11-22 05:06:31+00:00,2024-11-18,2024-11,93,47118.0,2436.0,6.0,0.051699987266012985,the most delicious and refreshing smoothie to boost your immunity the upcoming winter months,0.05233668661657965
UCgNUeSxwTH5tE9Bgvzek-5Q,fyRE3J5TIe0,My current workout split! 💪🏼💪🏼,2024-11-20 02:42:02+00:00,2024-11-18,2024-11,30,168189.0,8537.0,34.0,0.05075837302082776,my current workout split ,0.05176914066912818
UCgNUeSxwTH5tE9Bgvzek-5Q,BEP5_2F5XUY,Our Black Friday sale is now live✨ Go to the SoulSyncBody site for 35% off!BLACKFRIDAY24 at checkout,2024-11-18 22:09:51+00:00,2024-11-18,2024-11,100,22583.0,657.0,3.0,0.02909268033476509,our black friday sale is now live go to the soulsyncbody site for 35 offblackfriday24 at checkout,0.02975689678076429
UCgNUeSxwTH5tE9Bgvzek-5Q,ezL7WBrzqGg,Here are some healthy and gut friendly recipes ideas for your Thursday ☺️🥰,2024-11-14 23:00:38+00:00,2024-11-11,2024-11,74,126448.0,6374.0,21.0,0.050408072883715044,here are some healthy and gut friendly recipes ideas for your thursday ,0.05123845375173985
